idx,INSEE,nom,latitude,longitude,population
4970,44038,Chauve,47.150 ,-1.983 ,1589
4971,62807,Tatinghem,50.750 ,2.200 ,1589
4972,37263,Truyes,47.267 ,0.833 ,1588
4973,64109,Benejacq,43.200 ,-0.217 ,1587
4974,16280,Rivieres,45.750 ,0.350 ,1587
4975,39128,Chaussin,46.967 ,5.417 ,1587
4976,25403,Montlebon,47.033 ,6.617 ,1587
4977,40332,Ychoux,44.333 ,-0.967 ,1586
4978,26348,Taulignan,44.450 ,4.983 ,1586
4979,60577,Saint-Germer-de-Fly,49.450 ,1.783 ,1585
4980,89046,Bleneau,47.700 ,2.950 ,1585
4981,56128,Melrand,47.983 ,-3.117 ,1584
4982,85025,LaBoissiere-de-Montaigu,46.950 ,-1.183 ,1584
4983,14536,LaRiviere-Saint-Sauveur,49.417 ,0.267 ,1584
4984,34207,Pomerols,43.400 ,3.500 ,1584
4985,26139,Genissieux,45.083 ,5.083 ,1584
4986,64546,Urt,43.500 ,-1.283 ,1583
4987,67414,Rothau,48.450 ,7.217 ,1583
4988,67128,Ernolsheim-Bruche,48.567 ,7.567 ,1583
4989,35193,Montreuil-le-Gast,48.250 ,-1.717 ,1580
4990,33123,Cezac,45.100 ,-0.417 ,1580
4991,86103,Gencay,46.373 ,0.406 ,1580
4992,84053,Grillon,44.400 ,4.933 ,1580
4993,39411,Perrigny,46.667 ,5.583 ,1580
4994,49308,Saint-Melaine-sur-Aubance,47.367 ,-0.500 ,1579
4995,12146,LeMonastere,44.350 ,2.583 ,1579
4996,42267,Saint-Nizier-sous-Charlieu,46.150 ,4.133 ,1579
4997,45279,Saint-Germain-des-Pres,47.950 ,2.850 ,1578
4998,14407,Mathieu,49.250 ,-0.367 ,1577
4999,49196,LaMeignanne,47.517 ,-0.667 ,1576
5000,57039,Augny,49.067 ,6.117 ,1576
5001,61230,Longny-au-Perche,48.533 ,0.750 ,1575
5002,60149,Chevrieres,49.350 ,2.683 ,1575
5003,3156,Lusigny,46.600 ,3.483 ,1575
5004,26357,Tulette,44.283 ,4.933 ,1575
5005,1378,Saint-Maurice-de-Gourdans,45.817 ,5.200 ,1575
5006,29227,Poullaouen,48.333 ,-3.650 ,1574
5007,9336,Villeneuve-d'Olmes,42.900 ,1.817 ,1574
5008,67405,Roeschwoog,48.833 ,8.033 ,1573
5009,44001,Abbaretz,47.550 ,-1.533 ,1572
5010,78057,Bennecourt,49.033 ,1.567 ,1572
5011,27020,Arnieres-sur-Iton,48.983 ,1.117 ,1571
5012,62721,Roquetoire,50.667 ,2.350 ,1571
5013,59025,Aubers,50.600 ,2.833 ,1571
5014,60291,Guiscard,49.650 ,3.050 ,1571
5015,56221,Saint-Jacut-les-Pins,47.683 ,-2.217 ,1570
5016,64558,Villefranque,43.433 ,-1.450 ,1570
5017,73015,LesAllues,45.433 ,6.550 ,1570
5018,27180,Courcelles-sur-Seine,49.183 ,1.367 ,1569
5019,19038,Chameyrat,45.233 ,1.700 ,1569
5020,34189,Olonzac,43.267 ,2.733 ,1569
5021,63265,Orleat,45.867 ,3.433 ,1569
5022,19202,Sainte-Fereole,45.233 ,1.583 ,1568
5023,59018,Arneke,50.833 ,2.417 ,1568
5024,34272,Saint-Just,43.650 ,4.117 ,1568
5025,38215,Luzinay,45.583 ,4.950 ,1568
5026,25133,Chatillon-le-Duc,47.300 ,6.017 ,1568
5027,28334,Saint-Denis-les-Ponts,48.067 ,1.300 ,1567
5028,91243,Fontenay-les-Briis,48.617 ,2.150 ,1567
5029,60041,Bailleul-sur-Therain,49.400 ,2.233 ,1567
5030,62543,Mametz,50.633 ,2.333 ,1567
5031,38100,LeCheylas,45.367 ,6.000 ,1567
5032,59614,Viesly,50.150 ,3.467 ,1566
5033,64477,Saint-Etienne-de-Baigorry,43.167 ,-1.350 ,1565
5034,76254,Etretat,49.700 ,0.200 ,1565
5035,38464,Saint-Victor-de-Cessieu,45.550 ,5.400 ,1565
5036,68007,Andolsheim,48.067 ,7.417 ,1565
5037,33485,Sainte-Terre,44.833 ,-0.117 ,1564
5038,72364,Vaas,47.667 ,0.317 ,1564
5039,83053,Evenos,43.167 ,5.850 ,1564
5040,64279,Itxassou,43.317 ,-1.400 ,1563
5041,14066,Bernieres-sur-Mer,49.333 ,-0.417 ,1563
5042,2315,Flavy-le-Martel,49.717 ,3.200 ,1563
5043,3200,Neuvy,46.550 ,3.283 ,1563
5044,66002,Alenya,42.633 ,2.983 ,1562
5045,7117,Lablachere,44.467 ,4.217 ,1562
5046,22056,Evran,48.383 ,-1.983 ,1561
5047,87103,Nantiat,46.017 ,1.183 ,1561
5048,77339,Noisy-sur-Ecole,48.367 ,2.500 ,1561
5049,5040,Chorges,44.550 ,6.283 ,1561
5050,37167,Neuille-Pont-Pierre,47.550 ,0.550 ,1560
5051,19066,Cublac,45.150 ,1.317 ,1560
5052,69189,Sainte-Colombe,45.517 ,4.867 ,1560
5053,57602,Rurange-les-Thionville,49.283 ,6.233 ,1560
5054,18103,Gracay,47.133 ,1.850 ,1559
5055,91411,LesMolieres,48.667 ,2.067 ,1559
5056,87019,Boisseuil,45.767 ,1.317 ,1558
5057,69220,Saint-Laurent-de-Chamousset,45.733 ,4.467 ,1558
5058,25258,Franois,47.233 ,5.933 ,1558
5059,68185,Liepvre,48.267 ,7.283 ,1558
5060,41143,Mondoubleau,47.983 ,0.900 ,1557
5061,2574,Origny-en-Thierache,49.900 ,4.017 ,1557
5062,7240,Saint-Georges-les-Bains,44.867 ,4.817 ,1557
5063,85211,Sainte-Flaive-des-Loups,46.617 ,-1.583 ,1556
5064,50523,Sainte-Mere-Eglise,49.417 ,-1.317 ,1556
5065,52123,Chevillon,48.533 ,5.133 ,1556
5066,67025,Beinheim,48.867 ,8.083 ,1556
5067,86178,Nieuil-l'Espoir,46.483 ,0.450 ,1554
5068,85042,Chaille-les-Marais,46.383 ,-1.017 ,1553
5069,24035,Belves,44.783 ,1.000 ,1553
5070,59578,Steenbecque,50.667 ,2.483 ,1553
5071,31100,Calmont,43.283 ,1.633 ,1552
5072,49083,Chaudron-en-Mauges,47.283 ,-0.983 ,1551
5073,76614,Saint-Martin-de-Boscherville,49.450 ,0.967 ,1551
5074,7316,Soyons,44.883 ,4.850 ,1551
5075,67538,Wingen-sur-Moder,48.917 ,7.367 ,1551
5076,29044,Dineault,48.217 ,-4.167 ,1550
5077,87205,LeVigen,45.750 ,1.283 ,1550
5078,10115,Creney-pres-Troyes,48.333 ,4.133 ,1550
5079,67507,Ville,48.333 ,7.300 ,1550
5080,67460,Schwindratzheim,48.750 ,7.600 ,1550
5081,1166,Frans,45.983 ,4.783 ,1549
5082,36069,Ecueille,47.083 ,1.350 ,1548
5083,77531,Voulx,48.283 ,2.967 ,1548
5084,60491,Pierrefonds,49.350 ,2.983 ,1548
5085,30042,Boisset-et-Gaujac,44.050 ,4.000 ,1548
5086,38012,Aoste,45.583 ,5.600 ,1548
5087,87158,Saint-Laurent-sur-Gorre,45.767 ,0.950 ,1547
5088,59123,Camphin-en-Carembault,50.517 ,2.983 ,1547
5089,85221,Saint-Gervais,46.900 ,-2.017 ,1546
5090,49345,Thouarce,47.267 ,-0.500 ,1546
5091,11254,Montreal,43.200 ,2.150 ,1546
5092,29025,Cast,48.167 ,-4.133 ,1545
5093,77058,Bussy-Saint-Georges,48.850 ,2.700 ,1545
5094,1157,Fareins,46.017 ,4.767 ,1545
5095,38352,Saint-Alban-de-Roche,45.600 ,5.233 ,1545
5096,56167,Plougoumelen,47.650 ,-2.933 ,1544
5097,63225,Messeix,45.617 ,2.550 ,1544
5098,38155,Entre-deux-Guiers,45.433 ,5.750 ,1544
5099,85208,Saint-Denis-la-Chevasse,46.817 ,-1.350 ,1543
5100,72308,Saint-Paterne,48.400 ,0.117 ,1543
5101,46182,Luzech,44.483 ,1.283 ,1543
5102,26002,Albon,45.233 ,4.867 ,1543
5103,95436,Mours,49.133 ,2.267 ,1542
5104,2237,Crecy-sur-Serre,49.700 ,3.617 ,1542
5105,51210,Dizy,49.067 ,3.967 ,1542
5106,43213,Saint-Pal-de-Mons,45.233 ,4.283 ,1542
5107,67095,Diemeringen,48.933 ,7.183 ,1542
5108,67465,Sessenheim,48.800 ,7.983 ,1542
5109,14566,Saint-Contest,49.217 ,-0.400 ,1541
5110,80211,Conty,49.733 ,2.150 ,1541
5111,30019,Aubais,43.750 ,4.150 ,1541
5112,70482,Scey-sur-Saone-et-Saint-Albin,47.667 ,5.967 ,1541
5113,88470,LeTholy,48.083 ,6.750 ,1541
5114,19255,Seilhac,45.367 ,1.717 ,1540
5115,95056,Belloy-en-France,49.083 ,2.383 ,1540
5116,10224,Marigny-le-Chatel,48.400 ,3.733 ,1540
5117,14354,Langrune-sur-Mer,49.317 ,-0.367 ,1539
5118,62621,Nortkerque,50.883 ,2.033 ,1539
5119,6103,Roquebilliere,44.017 ,7.300 ,1539
5120,60013,Angicourt,49.317 ,2.500 ,1538
5121,89382,Seignelay,47.900 ,3.600 ,1538
5122,21412,Meursault,46.983 ,4.767 ,1538
5123,68020,Bantzenheim,47.833 ,7.500 ,1538
5124,95183,Courdimanche,49.033 ,2.000 ,1537
5125,76281,LaFrenaye,49.525 ,0.575 ,1536
5126,62652,Pernes,50.483 ,2.417 ,1536
5127,23013,Auzances,46.017 ,2.500 ,1536
5128,6130,Saint-Vallier-de-Thiey,43.700 ,6.850 ,1536
5129,68266,Reguisheim,47.900 ,7.350 ,1536
5130,69175,Savigny,45.817 ,4.567 ,1535
5131,21605,Sennecey-les-Dijon,47.283 ,5.100 ,1535
5132,20049,Calenzana,42.500 ,8.850 ,1535
5133,49220,Morannes,47.750 ,-0.417 ,1534
5134,59499,Rexpoede,50.933 ,2.533 ,1534
5135,88124,Darney,48.083 ,6.050 ,1534
5136,85172,LePerrier,46.817 ,-2.000 ,1532
5137,74024,Ayse,46.083 ,6.433 ,1532
5138,24376,Saint-Aulaye,45.200 ,0.133 ,1531
5139,62309,Esquerdes,50.700 ,2.183 ,1530
5140,38436,Saint-Paul-de-Varces,45.067 ,5.633 ,1530
5141,68078,Eguisheim,48.050 ,7.300 ,1530
5142,79298,Saint-Symphorien,46.267 ,-0.500 ,1529
5143,14666,Sannerville,49.183 ,-0.217 ,1529
5144,82094,Lauzerte,44.250 ,1.133 ,1529
5145,31484,Saint-Genies-Bellevue,43.683 ,1.483 ,1529
5146,42015,Belmont-de-la-Loire,46.167 ,4.350 ,1528
5147,8497,Warcq,49.767 ,4.683 ,1528
5148,44111,Notre-Dame-des-Landes,47.383 ,-1.700 ,1527
5149,81139,Lautrec,43.717 ,2.150 ,1527
5150,11081,Caunes-Minervois,43.317 ,2.533 ,1527
5151,7337,Vernosc-les-Annonay,45.217 ,4.717 ,1527
5152,38199,Jardin,45.500 ,4.917 ,1527
5153,74103,Domancy,45.917 ,6.650 ,1527
5154,35072,Chatillon-en-Vendelais,48.217 ,-1.167 ,1526
5155,14562,Saint-Aubin-sur-Mer,49.333 ,-0.400 ,1526
5156,22180,Plelan-le-Petit,48.433 ,-2.233 ,1525
5157,57535,Petit-Rederching,49.050 ,7.300 ,1525
5158,49069,Champtoceaux,47.333 ,-1.267 ,1524
5159,65340,Orleix,43.283 ,0.117 ,1523
5160,31004,Ayguesvives,43.433 ,1.600 ,1523
5161,25159,Colombier-Fontaine,47.450 ,6.700 ,1523
